"Coefficient","mean","sd","median","95% CI","species"
"beta.aspect_sq",-5.3,5.7,-5.4,"-16 - 6.1","Golden-fronted Woodpecker"
"beta.barren_land",3.5,7.6,3.8,"-12 - 17","Golden-fronted Woodpecker"
"beta.barren_land_sq",-0.96,7.6,-1.2,"-15 - 14","Golden-fronted Woodpecker"
"beta.cultivated_crop",-7.7,5.8,-7.5,"-20 - 3.2","Golden-fronted Woodpecker"
"beta.cultivated_crop_sq",0.2,7,0.31,"-13 - 13","Golden-fronted Woodpecker"
"beta.deciduous_forest",-14,7,-14,"-28 - -0.12","Golden-fronted Woodpecker"
"beta.deciduous_forest_sq",3.9,6.1,4.3,"-9.1 - 15","Golden-fronted Woodpecker"
"beta.developed_high_intensity",-1.7,6.9,-1.9,"-15 - 12","Golden-fronted Woodpecker"
"beta.developed_high_intensity_sq",-0.73,5.6,-0.52,"-12 - 9.9","Golden-fronted Woodpecker"
"beta.developed_low_intensity",9.1,6.3,9.2,"-3.7 - 21","Golden-fronted Woodpecker"
"beta.developed_low_intensity_sq",-5.8,6.3,-5.5,"-19 - 6.2","Golden-fronted Woodpecker"
"beta.effort_hours",0.83,0.21,0.82,"0.42 - 1.2","Golden-fronted Woodpecker"
"beta.elevation",-4,6.7,-4,"-17 - 8.9","Golden-fronted Woodpecker"
"beta.elevation_sq",5.9,5.1,6,"-4.3 - 16","Golden-fronted Woodpecker"
"beta.emergent_wetland",3.5,7.3,3.6,"-11 - 18","Golden-fronted Woodpecker"
"beta.emergent_wetland_sq",0.42,5.7,0.29,"-10 - 12","Golden-fronted Woodpecker"
"beta.evergreen_forest",-5.2,6.7,-5.1,"-19 - 7.7","Golden-fronted Woodpecker"
"beta.evergreen_forest_sq",0.66,4.6,0.7,"-8.5 - 9.7","Golden-fronted Woodpecker"
"beta.grassland_herbaceous",-7.3,6,-7.3,"-19 - 4.8","Golden-fronted Woodpecker"
"beta.grassland_herbaceous_sq",8.5,5.3,8.5,"-1.9 - 19","Golden-fronted Woodpecker"
"beta.lakes",-1.8,5.1,-1.7,"-12 - 8","Golden-fronted Woodpecker"
"beta.lakes_sq",9.4,6.4,10,"-7.5 - 20","Golden-fronted Woodpecker"
"beta.max_temperature",-3.5,5.5,-3.5,"-14 - 7.2","Golden-fronted Woodpecker"
"beta.max_temperature_sq",-4.2,4.8,-4.1,"-14 - 4.6","Golden-fronted Woodpecker"
"beta.mixed_forest",-4.2,7.5,-3.7,"-21 - 9","Golden-fronted Woodpecker"
"beta.mixed_forest_sq",4.2,6,4.7,"-9.1 - 15","Golden-fronted Woodpecker"
"beta.number_observers",-0.35,0.3,-0.33,"-0.99 - 0.2","Golden-fronted Woodpecker"
"beta.ocean",-2,8.1,-2.2,"-17 - 14","Golden-fronted Woodpecker"
"beta.ocean_sq",2,6.6,2.1,"-11 - 15","Golden-fronted Woodpecker"
"beta.pasture_hay",6.2,6.9,6.3,"-7.8 - 20","Golden-fronted Woodpecker"
"beta.pasture_hay_sq",-0.14,5.9,-0.13,"-12 - 11","Golden-fronted Woodpecker"
"beta.precipitation",1,6.2,0.99,"-11 - 13","Golden-fronted Woodpecker"
"beta.precipitation_sq",-5.9,5.8,-5.7,"-18 - 5","Golden-fronted Woodpecker"
"beta.rivers",-0.84,6.4,-0.63,"-14 - 11","Golden-fronted Woodpecker"
"beta.rivers_sq",6.9,7.2,6.9,"-7.3 - 21","Golden-fronted Woodpecker"
"beta.shrub_scrub",5.7,7.6,5.7,"-9.5 - 21","Golden-fronted Woodpecker"
"beta.shrub_scrub_sq",-8.6,5.1,-8.6,"-19 - 1.4","Golden-fronted Woodpecker"
"beta.slope",0.4,6.2,0.51,"-12 - 12","Golden-fronted Woodpecker"
"beta.slope_sq",1.7,6.3,1.7,"-11 - 14","Golden-fronted Woodpecker"
"beta.time_of_day",0.28,0.21,0.27,"-0.14 - 0.7","Golden-fronted Woodpecker"
"beta.woody_wetland",-16,7.5,-16,"-30 - -1.2","Golden-fronted Woodpecker"
"beta.woody_wetland_sq",-2.2,6.4,-2,"-15 - 10","Golden-fronted Woodpecker"
"beta.0",-4.3,0.25,-4.3,"-4.9 - -3.9","Golden-winged Warbler"
"beta.aspect",7.8,8.9,7.9,"-10 - 25","Golden-winged Warbler"
"beta.aspect_sq",0.9,7.7,1.2,"-15 - 15","Golden-winged Warbler"
"beta.barren_land",-7.8,6.4,-7.8,"-20 - 4.8","Golden-winged Warbler"
"beta.barren_land_sq",3.5,7.9,4.4,"-14 - 17","Golden-winged Warbler"
"beta.cultivated_crop",-15,8.6,-15,"-32 - 1.9","Golden-winged Warbler"
"beta.cultivated_crop_sq",0.39,7.3,0.57,"-15 - 14","Golden-winged Warbler"
"beta.deciduous_forest",18,7.6,18,"2.7 - 32","Golden-winged Warbler"
"beta.deciduous_forest_sq",-3.1,7.9,-2.2,"-21 - 10","Golden-winged Warbler"
"beta.developed_high_intensity",-8,8.6,-7.8,"-25 - 8.3","Golden-winged Warbler"
"beta.developed_high_intensity_sq",3.9,7.8,4.1,"-12 - 19","Golden-winged Warbler"
"beta.developed_low_intensity",-11,8.6,-11,"-28 - 6","Golden-winged Warbler"
"beta.developed_low_intensity_sq",5.9,8.1,6.1,"-11 - 21","Golden-winged Warbler"
"beta.effort_hours",-0.27,0.2,-0.26,"-0.72 - 0.076","Golden-winged Warbler"
"beta.elevation",-0.53,7.6,-0.51,"-16 - 14","Golden-winged Warbler"
"beta.elevation_sq",-9.7,7.7,-9.8,"-25 - 5.6","Golden-winged Warbler"
"beta.emergent_wetland",13,6.6,13,"-0.049 - 26","Golden-winged Warbler"
"beta.emergent_wetland_sq",-12,6.3,-11,"-25 - 0.066","Golden-winged Warbler"
"beta.evergreen_forest",-8.2,7.4,-8,"-23 - 5.9","Golden-winged Warbler"
"beta.evergreen_forest_sq",-0.75,6.8,-0.41,"-15 - 12","Golden-winged Warbler"
"beta.grassland_herbaceous",-12,7.5,-12,"-27 - 2.4","Golden-winged Warbler"
"beta.grassland_herbaceous_sq",2,6.6,2.3,"-12 - 14","Golden-winged Warbler"
"beta.lakes",-4.4,9,-4.3,"-22 - 13","Golden-winged Warbler"
"beta.lakes_sq",-1.1,7.9,-1,"-17 - 14","Golden-winged Warbler"
"beta.max_temperature",4.8,8.4,4.8,"-12 - 21","Golden-winged Warbler"
"beta.max_temperature_sq",-20,8.7,-20,"-37 - -2.7","Golden-winged Warbler"
"beta.mixed_forest",-7.2,7.1,-7.2,"-21 - 6.8","Golden-winged Warbler"
"beta.mixed_forest_sq",1.3,7.2,1.5,"-13 - 15","Golden-winged Warbler"
"beta.number_observers",-0.31,0.27,-0.28,"-0.92 - 0.13","Golden-winged Warbler"
"beta.ocean",-2.1,8.8,-1.4,"-20 - 13","Golden-winged Warbler"
"beta.ocean_sq",-1.2,8.9,-0.9,"-19 - 16","Golden-winged Warbler"
"beta.pasture_hay",0.11,8.3,0.49,"-17 - 15","Golden-winged Warbler"
"beta.pasture_hay_sq",-10,7.5,-10,"-25 - 4.5","Golden-winged Warbler"
"beta.precipitation",6.5,7.8,6.5,"-8.8 - 22","Golden-winged Warbler"
"beta.precipitation_sq",-10,8.1,-9.8,"-26 - 5.2","Golden-winged Warbler"
"beta.rivers",-4.8,8.5,-4.6,"-22 - 11","Golden-winged Warbler"
"beta.rivers_sq",-3.6,7.5,-3.4,"-19 - 10","Golden-winged Warbler"
"beta.shrub_scrub",18,6.5,18,"4.8 - 30","Golden-winged Warbler"
"beta.shrub_scrub_sq",-15,6.9,-14,"-29 - -2","Golden-winged Warbler"
"beta.slope",8.6,7.9,8.7,"-7 - 24","Golden-winged Warbler"
"beta.slope_sq",-1.1,6.7,-0.97,"-14 - 12","Golden-winged Warbler"
"beta.time_of_day",-0.06,0.13,-0.061,"-0.31 - 0.19","Golden-winged Warbler"
"beta.woody_wetland",11,7.9,11,"-4.3 - 26","Golden-winged Warbler"
"beta.woody_wetland_sq",0.15,5.4,0.11,"-10 - 11","Golden-winged Warbler"
"beta.0",-6,0.31,-6,"-6.6 - -5.4","Golden Eagle"
"beta.aspect",6.3,8.8,6.2,"-11 - 24","Golden Eagle"
"beta.aspect_sq",-0.56,8.4,-0.34,"-17 - 15","Golden Eagle"
"beta.barren_land",-2.5,8.3,-2.2,"-20 - 13","Golden Eagle"
"beta.barren_land_sq",-3,7.9,-2.6,"-19 - 11","Golden Eagle"
"beta.cultivated_crop",-0.54,8.8,-0.45,"-18 - 16","Golden Eagle"
"beta.cultivated_crop_sq",-3,8.6,-2.9,"-20 - 14","Golden Eagle"
"beta.deciduous_forest",7.9,7.1,8.1,"-6.6 - 21","Golden Eagle"
"beta.deciduous_forest_sq",6,7.6,6.4,"-9.6 - 20","Golden Eagle"
"beta.developed_high_intensity",-6.2,9.1,-6.1,"-24 - 11","Golden Eagle"
"beta.developed_high_intensity_sq",1.4,8.4,1.7,"-16 - 17","Golden Eagle"
"beta.developed_low_intensity",-7.9,9,-7.8,"-26 - 9.5","Golden Eagle"
"beta.developed_low_intensity_sq",2.8,8.6,3,"-15 - 19","Golden Eagle"
"beta.effort_hours",0.32,0.16,0.33,"-0.025 - 0.62","Golden Eagle"
"beta.elevation",6.9,8.8,6.8,"-10 - 24","Golden Eagle"
"beta.elevation_sq",1.5,8.5,1.6,"-15 - 18","Golden Eagle"
"beta.emergent_wetland",0.74,8.5,0.9,"-16 - 17","Golden Eagle"
"beta.emergent_wetland_sq",-3,8.1,-2.6,"-20 - 12","Golden Eagle"
"beta.evergreen_forest",-1.6,8.6,-1.6,"-19 - 15","Golden Eagle"
"beta.evergreen_forest_sq",2.9,8.9,2.9,"-15 - 20","Golden Eagle"
"beta.grassland_herbaceous",2.6,8.6,2.7,"-14 - 19","Golden Eagle"
"beta.grassland_herbaceous_sq",-4.2,9.4,-4.4,"-22 - 15","Golden Eagle"
"beta.lakes",-7.4,8.7,-7.3,"-25 - 9.3","Golden Eagle"
"beta.lakes_sq",2.6,7.9,3,"-14 - 17","Golden Eagle"
"beta.max_temperature",-7.1,8.9,-7.1,"-24 - 11","Golden Eagle"
"beta.max_temperature_sq",-5.1,8.6,-5,"-22 - 11","Golden Eagle"
"beta.mixed_forest",-3.9,8.9,-3.8,"-22 - 13","Golden Eagle"
"beta.mixed_forest_sq",-1.5,8.3,-1.2,"-19 - 14","Golden Eagle"
"beta.number_observers",-0.057,0.3,-0.008,"-0.77 - 0.38","Golden Eagle"
"beta.ocean",-4.1,9.1,-3.9,"-23 - 13","Golden Eagle"
"beta.ocean_sq",-0.43,8.2,-0.12,"-17 - 15","Golden Eagle"
"beta.pasture_hay",4.6,8.9,4.9,"-14 - 21","Golden Eagle"
"beta.pasture_hay_sq",-4.5,7.9,-4.1,"-21 - 9.7","Golden Eagle"
"beta.precipitation",1.6,8.7,1.6,"-16 - 18","Golden Eagle"
"beta.precipitation_sq",-5.5,8.6,-5.4,"-23 - 11","Golden Eagle"
"beta.rivers",-1.9,8.3,-1.6,"-19 - 13","Golden Eagle"
"beta.rivers_sq",-3,8.1,-2.7,"-19 - 12","Golden Eagle"
"beta.shrub_scrub",5.6,8.8,5.7,"-12 - 23","Golden Eagle"
"beta.shrub_scrub_sq",-6.8,9.4,-6.6,"-26 - 11","Golden Eagle"
"beta.slope",2.5,8.8,2.5,"-15 - 20","Golden Eagle"
"beta.slope_sq",-4,8.3,-3.8,"-21 - 12","Golden Eagle"
"beta.time_of_day",0.64,0.27,0.63,"0.13 - 1.2","Golden Eagle"
"beta.woody_wetland",-6.3,8.9,-6.2,"-24 - 11","Golden Eagle"
"beta.woody_wetland_sq",-3.1,9.2,-2.6,"-22 - 13","Golden Eagle"
"beta.0",-5.6,0.52,-5.6,"-6.7 - -4.6","Grace's Warbler"
"beta.aspect",7.8,7.7,7.7,"-7.2 - 23","Grace's Warbler"
"beta.aspect_sq",3.2,7,3.5,"-11 - 16","Grace's Warbler"
"beta.barren_land",-16,8.1,-15,"-32 - -0.091","Grace's Warbler"
"beta.barren_land_sq",13,7.5,14,"-2.4 - 27","Grace's Warbler"
"beta.cultivated_crop",-4.9,8.3,-4.6,"-22 - 11","Grace's Warbler"
"beta.cultivated_crop_sq",-0.62,7.8,-0.44,"-16 - 14","Grace's Warbler"
"beta.deciduous_forest",2.8,6.8,3,"-11 - 16","Grace's Warbler"
"beta.deciduous_forest_sq",2.2,6.7,2.4,"-12 - 15","Grace's Warbler"
"beta.developed_high_intensity",-5.3,8.4,-5.1,"-22 - 11","Grace's Warbler"
"beta.developed_high_intensity_sq",1.7,8.1,1.9,"-15 - 17","Grace's Warbler"
"beta.developed_low_intensity",-8.3,8.4,-8.2,"-25 - 8","Grace's Warbler"
"beta.developed_low_intensity_sq",5.6,7.5,5.7,"-9.5 - 20","Grace's Warbler"
"beta.effort_hours",0.17,0.22,0.18,"-0.27 - 0.6","Grace's Warbler"
"beta.elevation",6.5,9.4,6.5,"-12 - 25","Grace's Warbler"
"beta.elevation_sq",-8.1,7.8,-8,"-23 - 7.1","Grace's Warbler"
"beta.emergent_wetland",-3.2,7.7,-2.9,"-19 - 11","Grace's Warbler"
"beta.emergent_wetland_sq",-2.1,7.2,-1.9,"-17 - 12","Grace's Warbler"
"beta.evergreen_forest",22,6.5,22,"8.3 - 34","Grace's Warbler"
"beta.evergreen_forest_sq",0.51,5.8,0.0036,"-9.7 - 13","Grace's Warbler"
"beta.grassland_herbaceous",4,6.6,4.3,"-9.6 - 16","Grace's Warbler"
"beta.grassland_herbaceous_sq",-3.3,9.4,-2.7,"-22 - 13","Grace's Warbler"
"beta.lakes",-6.2,8.6,-6,"-24 - 10","Grace's Warbler"
"beta.lakes_sq",4.5,7.9,4.6,"-11 - 20","Grace's Warbler"
"beta.max_temperature",-5.9,10,-6.1,"-25 - 15","Grace's Warbler"
"beta.max_temperature_sq",-10,8.1,-9.8,"-26 - 5.7","Grace's Warbler"
"beta.mixed_forest",-2.4,7.7,-2.1,"-18 - 12","Grace's Warbler"
"beta.mixed_forest_sq",-6.9,7.4,-6.6,"-22 - 6.8","Grace's Warbler"
"beta.number_observers",-0.15,0.43,-0.11,"-1.1 - 0.58","Grace's Warbler"
"beta.ocean",0.034,10,-0.017,"-20 - 20","Grace's Warbler"
"beta.ocean_sq",0.036,10,0.0049,"-20 - 19","Grace's Warbler"
"beta.pasture_hay",-5.8,7.4,-5.7,"-21 - 8.3","Grace's Warbler"
"beta.pasture_hay_sq",6.2,7.4,6.8,"-10 - 19","Grace's Warbler"
"beta.precipitation",1.9,8,1.9,"-13 - 18","Grace's Warbler"
"beta.precipitation_sq",-17,6.9,-17,"-30 - -3.7","Grace's Warbler"
"beta.rivers",-2.2,9,-2,"-20 - 15","Grace's Warbler"
"beta.rivers_sq",0.038,8.1,-0.14,"-15 - 17","Grace's Warbler"
"beta.shrub_scrub",-8.6,7.8,-8.3,"-25 - 6.1","Grace's Warbler"
"beta.shrub_scrub_sq",0.99,6.6,1.1,"-12 - 14","Grace's Warbler"
"beta.slope",8.8,7.8,9,"-7.1 - 24","Grace's Warbler"
"beta.slope_sq",-3.2,6.6,-3,"-17 - 8.9","Grace's Warbler"
"beta.time_of_day",-0.39,0.26,-0.38,"-0.92 - 0.13","Grace's Warbler"
"beta.woody_wetland",-2,8.3,-1.7,"-19 - 14","Grace's Warbler"
"beta.woody_wetland_sq",-3.9,8.2,-3.9,"-20 - 13","Grace's Warbler"
"beta.0",-4.4,0.1,-4.4,"-4.6 - -4.2","Grasshopper Sparrow"
"beta.aspect",2.3,10,1.9,"-16 - 23","Grasshopper Sparrow"
"beta.aspect_sq",3.1,7.8,3.2,"-12 - 18","Grasshopper Sparrow"
"beta.barren_land",-5.9,6.6,-5.6,"-20 - 6","Grasshopper Sparrow"
"beta.barren_land_sq",-3.8,6.9,-3.5,"-18 - 8.8","Grasshopper Sparrow"
"beta.cultivated_crop",21,6.8,21,"7.5 - 34","Grasshopper Sparrow"
"beta.cultivated_crop_sq",-17,6.4,-17,"-29 - -4.3","Grasshopper Sparrow"
"beta.deciduous_forest",-24,8.2,-24,"-39 - -6.2","Grasshopper Sparrow"
"beta.deciduous_forest_sq",9,7.6,9.3,"-6.4 - 23","Grasshopper Sparrow"
"beta.developed_high_intensity",-7.3,8.4,-7.3,"-24 - 9","Grasshopper Sparrow"
"beta.developed_high_intensity_sq",1.4,8.9,1.3,"-16 - 20","Grasshopper Sparrow"
"beta.developed_low_intensity",-22,8.3,-22,"-38 - -4.8","Grasshopper Sparrow"
"beta.developed_low_intensity_sq",12,7,13,"-2.1 - 25","Grasshopper Sparrow"
"beta.effort_hours",-0.12,0.1,-0.12,"-0.33 - 0.071","Grasshopper Sparrow"
"beta.elevation",-15,7.3,-15,"-29 - -0.56","Grasshopper Sparrow"
"beta.elevation_sq",-12,7.1,-12,"-26 - 1.9","Grasshopper Sparrow"
"beta.emergent_wetland",-9.7,6.4,-9.6,"-22 - 2.5","Grasshopper Sparrow"
"beta.emergent_wetland_sq",6.8,6.1,7.3,"-6.5 - 17","Grasshopper Sparrow"
"beta.evergreen_forest",-9.8,8.2,-9.7,"-26 - 6","Grasshopper Sparrow"
"beta.evergreen_forest_sq",-1.1,8.7,-1.3,"-18 - 17","Grasshopper Sparrow"
"beta.grassland_herbaceous",44,5.6,44,"32 - 55","Grasshopper Sparrow"
"beta.grassland_herbaceous_sq",2.6,4.1,2.7,"-5.4 - 11","Grasshopper Sparrow"
"beta.lakes",-8.5,8.6,-8.2,"-26 - 7.7","Grasshopper Sparrow"
"beta.lakes_sq",3.3,7,3.4,"-11 - 17","Grasshopper Sparrow"
"beta.max_temperature",6.6,6.9,6.6,"-6.9 - 20","Grasshopper Sparrow"
"beta.max_temperature_sq",-24,7,-24,"-38 - -10","Grasshopper Sparrow"
"beta.mixed_forest",4.5,11,6.2,"-22 - 21","Grasshopper Sparrow"
"beta.mixed_forest_sq",6.4,7.7,6.9,"-9.9 - 20","Grasshopper Sparrow"
"beta.number_observers",0.085,0.067,0.089,"-0.058 - 0.21","Grasshopper Sparrow"
"beta.ocean",2.6,11,4.1,"-21 - 20","Grasshopper Sparrow"
"beta.ocean_sq",-1.6,6.9,-1.1,"-17 - 11","Grasshopper Sparrow"
"beta.pasture_hay",25,6.1,25,"13 - 37","Grasshopper Sparrow"
"beta.pasture_hay_sq",3.4,5.3,3.6,"-7.7 - 13","Grasshopper Sparrow"
"beta.precipitation",10,7.4,10,"-4.3 - 25","Grasshopper Sparrow"
"beta.precipitation_sq",-18,7,-18,"-32 - -4.5","Grasshopper Sparrow"
"beta.rivers",-9.3,7.2,-9.2,"-24 - 4.5","Grasshopper Sparrow"
"beta.rivers_sq",-6,7.2,-5.9,"-20 - 7.9","Grasshopper Sparrow"
"beta.shrub_scrub",8.9,7.8,9,"-6.5 - 24","Grasshopper Sparrow"
"beta.shrub_scrub_sq",-18,7.3,-18,"-33 - -4.1","Grasshopper Sparrow"
"beta.slope",-18,7.8,-18,"-33 - -2.5","Grasshopper Sparrow"
"beta.slope_sq",-1,7.4,-0.93,"-16 - 13","Grasshopper Sparrow"
"beta.time_of_day",-0.15,0.075,-0.15,"-0.3 - -0.0033","Grasshopper Sparrow"
"beta.woody_wetland",-12,7.8,-12,"-28 - 2.9","Grasshopper Sparrow"
"beta.woody_wetland_sq",-1.4,7.5,-1.1,"-17 - 13","Grasshopper Sparrow"
"beta.0",-1.9,0.035,-1.9,"-2 - -1.9","Gray Catbird"
"beta.aspect",7.7,5.5,7.8,"-3.3 - 18","Gray Catbird"
"beta.aspect_sq",8,3.9,8.2,"-0.73 - 15","Gray Catbird"
"beta.barren_land",-8.2,6.9,-7.9,"-23 - 4.5","Gray Catbird"
"beta.barren_land_sq",-11,7,-11,"-25 - 2.4","Gray Catbird"
"beta.cultivated_crop",-9.4,4,-9.5,"-17 - -1.1","Gray Catbird"
"beta.cultivated_crop_sq",-10,3.5,-10,"-17 - -2.5","Gray Catbird"
"beta.deciduous_forest",13,5.5,13,"2 - 24","Gray Catbird"
"beta.deciduous_forest_sq",-7.5,3.5,-7.5,"-14 - -0.62","Gray Catbird"
"beta.developed_high_intensity",-22,3.7,-22,"-29 - -15","Gray Catbird"
"beta.developed_high_intensity_sq",-1.3,3.3,-1.3,"-7.9 - 5.1","Gray Catbird"
"beta.developed_low_intensity",8.6,4.5,8.5,"-0.051 - 18","Gray Catbird"
"beta.developed_low_intensity_sq",-7.1,3.9,-7.3,"-14 - 1.1","Gray Catbird"
"beta.effort_hours",0.31,0.023,0.31,"0.27 - 0.36","Gray Catbird"
"beta.elevation",-44,5.9,-44,"-56 - -33","Gray Catbird"
"beta.elevation_sq",20,4.9,20,"10 - 29","Gray Catbird"
"beta.emergent_wetland",-5.7,5.7,-6.7,"-15 - 7.1","Gray Catbird"
"beta.emergent_wetland_sq",-2.2,4.6,-2.2,"-11 - 6.5","Gray Catbird"
"beta.evergreen_forest",-15,7.3,-14,"-29 - -1.8","Gray Catbird"
"beta.evergreen_forest_sq",16,8.6,19,"-1.1 - 28","Gray Catbird"
"beta.grassland_herbaceous",-7.5,6.5,-7.7,"-20 - 5.3","Gray Catbird"
"beta.grassland_herbaceous_sq",0.51,5.4,0.55,"-10 - 11","Gray Catbird"
"beta.lakes",-12,4,-12,"-20 - -4.4","Gray Catbird"
"beta.lakes_sq",5.8,3.4,5.9,"-1.1 - 12","Gray Catbird"
"beta.max_temperature",-60,5.7,-60,"-71 - -49","Gray Catbird"
"beta.max_temperature_sq",-62,5.7,-62,"-73 - -51","Gray Catbird"
"beta.mixed_forest",-16,5.8,-16,"-28 - -5.5","Gray Catbird"
"beta.mixed_forest_sq",0.28,3.6,0.39,"-6.9 - 7.1","Gray Catbird"
"beta.number_observers",0.023,0.032,0.023,"-0.041 - 0.084","Gray Catbird"
"beta.ocean",0.79,5.5,0.56,"-9.5 - 12","Gray Catbird"
"beta.ocean_sq",-7.2,4.3,-7,"-16 - 0.72","Gray Catbird"
"beta.pasture_hay",5.5,4.3,5.5,"-3 - 14","Gray Catbird"
"beta.pasture_hay_sq",-25,4.8,-25,"-34 - -15","Gray Catbird"
"beta.precipitation",14,5.8,14,"2.8 - 25","Gray Catbird"
"beta.precipitation_sq",-10,5.3,-10,"-21 - 0.17","Gray Catbird"
"beta.rivers",1.5,4.3,1.6,"-7.1 - 9.6","Gray Catbird"
"beta.rivers_sq",-10,5.8,-10,"-22 - 0.21","Gray Catbird"
"beta.shrub_scrub",0.52,6.1,0.65,"-12 - 12","Gray Catbird"
"beta.shrub_scrub_sq",-8.2,6.5,-9,"-19 - 6.1","Gray Catbird"
"beta.slope",3.9,5.2,4,"-6.2 - 14","Gray Catbird"
"beta.slope_sq",0.12,6.2,0.071,"-12 - 12","Gray Catbird"
"beta.time_of_day",-0.088,0.026,-0.088,"-0.14 - -0.038","Gray Catbird"
"beta.woody_wetland",-14,4.5,-14,"-23 - -4.9","Gray Catbird"
"beta.woody_wetland_sq",-9.9,4.3,-9.8,"-18 - -1.6","Gray Catbird"
"beta.0140",-4.6,0.27,-4.6,"-5.2 - -4.2","Gray Flycatcher"
"beta.aspect140",2.7,7.1,2.4,"-11 - 17","Gray Flycatcher"
"beta.aspect_sq140",-6,7.4,-5.7,"-21 - 7.7","Gray Flycatcher"
"beta.barren_land140",-2.5,6.7,-2.2,"-16 - 9.3","Gray Flycatcher"
"beta.barren_land_sq140",-4.1,9.1,-4.3,"-21 - 12","Gray Flycatcher"
"beta.cultivated_crop140",-11,7.8,-10,"-27 - 4","Gray Flycatcher"
"beta.cultivated_crop_sq140",1.1,7.7,1.3,"-14 - 15","Gray Flycatcher"
"beta.deciduous_forest140",-0.97,7.5,-0.76,"-16 - 13","Gray Flycatcher"
"beta.deciduous_forest_sq140",-1.1,6.8,-0.94,"-15 - 12","Gray Flycatcher"
"beta.developed_high_intensity140",-7.9,8.5,-7.7,"-25 - 8.1","Gray Flycatcher"
"beta.developed_high_intensity_sq140",5.5,8.2,5.5,"-11 - 21","Gray Flycatcher"
"beta.developed_low_intensity140",-13,8.4,-13,"-29 - 4.2","Gray Flycatcher"
"beta.developed_low_intensity_sq140",6.6,8,7,"-10 - 21","Gray Flycatcher"
"beta.effort_hours140",-0.013,0.19,0.0018,"-0.43 - 0.32","Gray Flycatcher"
"beta.elevation140",-12,7.5,-12,"-26 - 3.2","Gray Flycatcher"
"beta.elevation_sq140",-9.5,7.8,-9.4,"-25 - 5.4","Gray Flycatcher"
"beta.emergent_wetland140",-8,7.2,-7.7,"-23 - 5.3","Gray Flycatcher"
"beta.emergent_wetland_sq140",-0.54,7.2,-0.18,"-16 - 13","Gray Flycatcher"
"beta.evergreen_forest140",1.3,7.6,1.3,"-14 - 16","Gray Flycatcher"
"beta.evergreen_forest_sq140",-3.4,7.7,-3.4,"-18 - 11","Gray Flycatcher"
"beta.grassland_herbaceous140",-7.3,6.7,-7.3,"-21 - 5.4","Gray Flycatcher"
"beta.grassland_herbaceous_sq140",-1.3,6.4,-1.1,"-14 - 11","Gray Flycatcher"
"beta.lakes140",-7.4,8.2,-7.3,"-24 - 8.5","Gray Flycatcher"
"beta.lakes_sq140",1.5,7.4,1.7,"-14 - 15","Gray Flycatcher"
"beta.max_temperature140",-11,7.3,-11,"-25 - 3.3","Gray Flycatcher"
"beta.max_temperature_sq140",-18,7.8,-18,"-33 - -1.7","Gray Flycatcher"
"beta.mixed_forest140",-8.1,7.6,-7.9,"-24 - 6.2","Gray Flycatcher"
"beta.mixed_forest_sq140",1.4,7.1,1.8,"-13 - 14","Gray Flycatcher"
"beta.number_observers140",0.048,0.21,0.066,"-0.4 - 0.4","Gray Flycatcher"
"beta.ocean140",-3.8,8.7,-3.5,"-22 - 12","Gray Flycatcher"
"beta.ocean_sq140",2.1,8.5,1.7,"-14 - 19","Gray Flycatcher"
"beta.pasture_hay140",-1.4,8.6,-0.65,"-20 - 13","Gray Flycatcher"
"beta.pasture_hay_sq140",-3.5,7.7,-3.1,"-19 - 11","Gray Flycatcher"
"beta.precipitation140",-7.9,7.3,-7.9,"-23 - 6.3","Gray Flycatcher"
"beta.precipitation_sq140",-4.3,7,-4.1,"-19 - 9.1","Gray Flycatcher"
"beta.rivers140",-9.6,8.1,-9.3,"-26 - 5.4","Gray Flycatcher"
"beta.rivers_sq140",3,7.1,3.3,"-12 - 16","Gray Flycatcher"
"beta.shrub_scrub140",18,7.5,19,"3.3 - 33","Gray Flycatcher"
"beta.shrub_scrub_sq140",2,6.3,2,"-10 - 14","Gray Flycatcher"
"beta.slope140",-3.3,7.4,-3.2,"-18 - 11","Gray Flycatcher"
"beta.slope_sq140",-5.7,8.3,-5.5,"-22 - 9.7","Gray Flycatcher"
"beta.time_of_day140",-0.31,0.17,-0.31,"-0.64 - 0.012","Gray Flycatcher"
"beta.woody_wetland140",-5.6,8.3,-5.3,"-23 - 9.8","Gray Flycatcher"
"beta.woody_wetland_sq140",-4.2,9.1,-3.8,"-23 - 12","Gray Flycatcher"
"beta.0",-3,0.11,-3,"-3.2 - -2.8","Great-tailed Grackle"
"beta.aspect",-5,5,-5,"-15 - 4.8","Great-tailed Grackle"
"beta.aspect_sq",-1.3,5.4,-1.3,"-12 - 8.7","Great-tailed Grackle"
"beta.barren_land",-3.4,4.5,-2.9,"-14 - 4.1","Great-tailed Grackle"
"beta.barren_land_sq",-0.75,6.1,-0.01,"-14 - 9.4","Great-tailed Grackle"
"beta.cultivated_crop",3.6,5.6,3.8,"-8 - 14","Great-tailed Grackle"
"beta.cultivated_crop_sq",-6.3,4.8,-6.1,"-16 - 3","Great-tailed Grackle"
"beta.deciduous_forest",-18,6.2,-18,"-31 - -6.5","Great-tailed Grackle"
"beta.deciduous_forest_sq",5.9,5.7,6.3,"-6.3 - 16","Great-tailed Grackle"
